asset_Type,data_source,code,agg_algo,settle_type,real_time_take_over,price_type,data_type,curve_name,curve_id,period,ohlc_begin,ohlc_end,open_px,high_px,low_px,close_px,open_yield,high_yield,low_yield,close_yield,ctd_Bond,volume,trade_times,total_volume,open_time,close_time,high_time,low_time
BOND,XBOND,“220220“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:12:00	","	2024-07-18 09:13:00	",100.2508,100.2508,100.2508,100.2508,2.7347,2.7347,2.7347,2.7347,,0,,,,,,
BOND,XBOND,“180210“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:12:00	","	2024-07-18 09:13:00	",105.7658,105.7658,105.7658,105.7658,2.494,2.494,2.494,2.494,,0,,,,,,
BOND,XBOND,“220220“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:12:00	","	2024-07-18 09:13:00	",100.2508,100.2508,100.2508,100.2508,2.7347,2.7347,2.7347,2.7347,,0,,,,,,
BOND,XBOND,“180210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:12:00	","	2024-07-18 09:13:00	",105.6846,105.7252,105.6846,105.7252,2.515,2.515,2.5045,2.5045,,0,,,,,,
BOND,XBOND,“180210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:12:00	","	2024-07-18 09:13:00	",105.6846,105.6846,105.6846,105.6846,2.515,2.515,2.515,2.515,,0,,,,,,
BOND,XBOND,“220220“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:12:00	","	2024-07-18 09:13:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“180011“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“180011“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“180011“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“220210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",103.6666,103.6666,103.6666,103.6666,2.4604,2.4604,2.4604,2.4604,,0,,,,,,
BOND,XBOND,“210215“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“210210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“210210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“220205“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",105.263,105.263,105.263,105.263,2.2288,2.2288,2.2288,2.2288,,0,,,,,,
BOND,XBOND,“220210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",103.8333,103.8333,103.8333,103.8333,2.4373,2.4373,2.4373,2.4373,,0,,,,,,
BOND,XBOND,“210215“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“220205“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",105.1484,105.1484,105.1484,105.1484,2.245,2.245,2.245,2.245,,0,,,,,,
BOND,XBOND,“160010“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“210215“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“220220“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",103.4951,103.4951,100.2508,100.2508,2.3,2.7347,2.3,2.7347,,0,,,,,,
BOND,XBOND,“160010“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“160010“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“220210“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",104,104,104,104,2.4141,2.4141,2.4141,2.4141,,0,,,,,,
BOND,XBOND,“210210“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“190210“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",107.3894,107.3894,107.3894,107.3894,2.0448,2.0448,2.0448,2.0448,,0,,,,,,
BOND,XBOND,“190210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",107.1271,107.1271,107.1271,107.1271,2.0997,2.0997,2.0997,2.0997,,0,,,,,,
BOND,XBOND,“190210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",107.2583,107.2583,107.2583,107.2583,2.0723,2.0723,2.0723,2.0723,,0,,,,,,
BOND,XBOND,“180210“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",105.7658,105.7658,105.7658,105.7658,2.494,2.494,2.494,2.494,,0,,,,,,
BOND,XBOND,“180210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",105.6846,105.6846,105.6846,105.6846,2.515,2.515,2.515,2.515,,0,,,,,,
BOND,XBOND,“180210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",105.6846,105.6846,105.6846,105.6846,2.515,2.515,2.515,2.515,,0,,,,,,
BOND,XBOND,“220220“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",103.8763,103.8763,103.8763,103.8763,2.25,2.25,2.25,2.25,,0,,,,,,
BOND,XBOND,“220205“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",105.3776,105.3776,105.3776,105.3776,2.2125,2.2125,2.2125,2.2125,,0,,,,,,
BOND,XBOND,“220220“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:13:00	","	2024-07-18 09:14:00	",103.6857,103.6857,100.2508,100.2508,2.275,2.7347,2.275,2.7347,,0,,,,,,
BOND,XBOND,“220210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:14:00	","	2024-07-18 09:15:00	",103.6666,103.6666,103.6666,103.6666,2.4604,2.4604,2.4604,2.4604,,0,,,,,,
