code,ask_size1,ask_size2,ask_size3,ask_size4,ask_size5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_yield1,ask_yield2,ask_yield3,ask_yield4,ask_yield5,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_yield1,bid_yield2,bid_yield3,bid_yield4,bid_yield5,clearMethod,deliveryType,dataSource,settle_type,recv_time,source_time,is_inversion,is_unilateral,is_vacuum,is_spike
170010,10000000,,,,,103.7734,,,,,2.1234,,,,,10000000,,,,,103.5262,,,,,2.2129,,,,,,,XBOND,T1,"	2024-07-16 19:47:42	","	2024-07-16 19:47:42	",0,0,0,0
180011,120000000,,,,,103.4862,,,,,2.7255,,,,,100000000,100000000,,,,103.4862,103.4674,,,,2.7255,2.7306,,,,,,XBOND,T1,"	2024-07-16 19:47:41	","	2024-07-16 19:47:41	",1,0,0,0
170010,10000000,,,,,102.1441,,,,,2.7182,,,,,10000000,,,,,101.2553,,,,,3.0475,,,,,,,XBOND,T1,"	2024-07-16 19:47:31	","	2024-07-16 19:47:31	",0,0,0,0
180011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBOND,T1,"	2024-07-16 19:47:30	","	2024-07-16 19:47:30	",0,0,1,0
170010,10000000,,,,,103.7737,,,,,2.1233,,,,,10000000,,,,,103.5262,,,,,2.2129,,,,,,,XBOND,T1,"	2024-07-16 19:46:46	","	2024-07-16 19:46:45	",0,0,0,0
180011,120000000,,,,,103.4866,,,,,2.7254,,,,,100000000,100000000,,,,103.4862,103.4681,,,,2.7255,2.7304,,,,,,XBOND,T1,"	2024-07-16 19:46:45	","	2024-07-16 19:46:44	",0,0,0,0
170010,10000000,,,,,102.1441,,,,,2.7182,,,,,10000000,,,,,101.2553,,,,,3.0475,,,,,,,XBOND,T1,"	2024-07-16 19:46:02	","	2024-07-16 19:46:02	",0,0,0,0
180011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBOND,T1,"	2024-07-16 19:46:01	","	2024-07-16 19:46:01	",0,0,1,0
180011,120000000,,,,,103.4866,,,,,2.7254,,,,,100000000,100000000,,,,103.4862,103.4681,,,,2.7255,2.7304,,,,,,XBOND,T1,"	2024-07-16 19:45:49	","	2024-07-16 19:45:48	",0,0,0,0
220205,40000000,,,,,105.3212,,,,,2.221,,,,,20000000,,,,,105.2859,,,,,2.226,,,,,,,XBOND,T1,"	2024-07-16 19:45:49	","	2024-07-16 19:45:48	",0,0,0,0
160010,,,,,,,,,,,,,,,,50000000,,,,,101.051,,,,,2.3,,,,,,,XBOND,T1,"	2024-07-16 19:45:49	","	2024-07-16 19:45:48	",0,1,0,0
170010,10000000,,,,,103.7737,,,,,2.1233,,,,,10000000,,,,,103.5196,,,,,2.2153,,,,,,,XBOND,T1,"	2024-07-16 19:45:49	","	2024-07-16 19:45:48	",0,0,0,0
210215,1010000000,,,,,98.862,,,,,3.3,,,,,60000000,980000000,,,,98.675,98.2401,,,,3.33,3.4,,,,,,XBOND,T1,"	2024-07-16 19:45:49	","	2024-07-16 19:45:48	",0,0,0,0
050004,,,,,,,,,,,,,,,,160000000,,,,,92.5,,,,,13.9857,,,,,,,XBOND,T1,"	2024-07-16 19:45:49	","	2024-07-16 19:45:48	",0,1,0,0
190210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBOND,T1,"	2024-07-16 19:45:49	","	2024-07-16 19:45:48	",0,0,1,0
180210,,,,,,,,,,,,,,,,50000000,,,,,101.783,,,,,3.55,,,,,,,XBOND,T1,"	2024-07-16 19:45:49	","	2024-07-16 19:45:48	",0,1,0,0
220210,170000000,1000000000,1000000000,1000000000,1000000000,101.3333,101.4444,101.5555,101.9879,101.9898,2.7888,2.773,2.7572,2.6959,2.6957,860000000,100000000,1000000000,1000000000,1000000000,99.8888,99.8616,99.7897,99.5555,99.4444,2.9961,3.0,3.0104,3.0444,3.0605,,,XBOND,T1,"	2024-07-16 19:45:49	","	2024-07-16 19:45:48	",0,0,0,0
170010,,,,,,,,,,,,,,,,20000000,,,,,102.0,,,,,2.772,,,,,,,XBOND,T0,"	2024-07-16 19:45:49	","	2024-07-16 19:45:48	",0,1,0,0
200210,560000000,990000000,,,,99.7842,106.1359,,,,3.14,2.0,,,,930000000,990000000,,,,101.5248,99.4077,,,,2.82,3.21,,,,,,XBOND,T1,"	2024-07-16 19:45:49	","	2024-07-16 19:45:48	",1,0,0,0
140025,,,,,,,,,,,,,,,,10000000,,,,,122.0,,,,,2.8622,,,,,,,XBOND,T1,"	2024-07-16 19:45:49	","	2024-07-16 19:45:48	",0,1,0,0
210210,,,,,,,,,,,,,,,,1830000000,10000000,10000000,,,100.0,96.5006,95.0,,,3.4091,4.0,4.2615,,,,,XBOND,T1,"	2024-07-16 19:45:49	","	2024-07-16 19:45:48	",0,1,0,0
190210,,,,,,,,,,,,,,,,20000000,,,,,107.3527,,,,,2.055,,,,,,,XBOND,T0,"	2024-07-16 19:45:48	","	2024-07-16 19:45:48	",0,1,0,0
220220,200000000,300000000,,,,103.6876,104.0086,,,,2.275,2.233,,,,20000000,30000000,90000000,,,102.0,100.0,98.0,,,2.4984,2.769,3.0461,,,,,XBOND,T1,"	2024-07-16 19:45:48	","	2024-07-16 19:45:48	",0,0,0,0
180011,120000000,,,,,103.4866,,,,,2.7254,,,,,100000000,100000000,,,,103.4862,103.4681,,,,2.7255,2.7304,,,,,,XBOND,T1,"	2024-07-16 19:45:39	","	2024-07-16 19:45:39	",0,0,0,0
180011,120000000,,,,,103.4866,,,,,2.7254,,,,,100000000,,,,,103.4681,,,,,2.7304,,,,,,,XBOND,T1,"	2024-07-16 19:45:35	","	2024-07-16 19:45:35	",0,0,0,0
