asset_Type,data_source,code,agg_algo,settle_type,real_time_take_over,price_type,data_type,curve_name,curve_id,period,ohlc_begin,ohlc_end,open_px,high_px,low_px,close_px,open_yield,high_yield,low_yield,close_yield,ctd_Bond,volume,trade_times,total_volume,open_time,close_time,high_time,low_time
BOND,XBOND,"""200210""",,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-17 10:02:00	","	2024-07-17 10:03:00	",105.000000000000,105.000000000000,100.000000000000,100.000000000000,2.198000000000,3.100000000000,2.198000000000,3.100000000000,,0.0000,,,,,,
BOND,XBOND,"""190210""",,T0,,MID,PRICE,,,ONE_MINUTE,"	2024-07-17 10:02:00	","	2024-07-17 10:03:00	",106.633500000000,106.633500000000,106.633500000000,106.633500000000,2.205000000000,2.205000000000,2.205000000000,2.205000000000,,0.0000,,,,,,
BOND,XBOND,"""200210""",,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-17 10:03:00	","	2024-07-17 10:04:00	",100.500000000000,100.500000000000,100.500000000000,100.500000000000,3.007900000000,3.007900000000,3.007900000000,3.007900000000,,0.0000,,,,,,
BOND,XBOND,"""210215""",,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-17 10:03:00	","	2024-07-17 10:04:00	",103.350500000000,103.350500000000,103.350500000000,103.350500000000,2.600000000000,2.600000000000,2.600000000000,2.600000000000,,0.0000,,,,,,
BOND,XBOND,"""210215""",,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-17 10:03:00	","	2024-07-17 10:04:00	",100.756500000000,100.756500000000,100.756500000000,100.756500000000,3.000000000000,3.000000000000,3.000000000000,3.000000000000,,0.0000,,,,,,
BOND,XBOND,"""210215""",,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-17 10:03:00	","	2024-07-17 10:04:00	",102.053500000000,102.053500000000,102.053500000000,102.053500000000,2.800000000000,2.800000000000,2.800000000000,2.800000000000,,0.0000,,,,,,
BOND,XBOND,"""200210""",,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-17 10:03:00	","	2024-07-17 10:04:00	",101.000000000000,101.000000000000,101.000000000000,101.000000000000,2.915800000000,2.915800000000,2.915800000000,2.915800000000,,0.0000,,,,,,
BOND,XBOND,"""200210""",,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-17 10:03:00	","	2024-07-17 10:04:00	",100.000000000000,100.000000000000,100.000000000000,100.000000000000,3.100000000000,3.100000000000,3.100000000000,3.100000000000,,0.0000,,,,,,
BOND,XBOND,"""200210""",,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-17 10:04:00	","	2024-07-17 10:05:00	",100.500000000000,100.500000000000,100.500000000000,100.500000000000,3.007900000000,3.007900000000,3.007900000000,3.007900000000,,0.0000,,,,,,
BOND,XBOND,"""190210""",,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-17 10:04:00	","	2024-07-17 10:05:00	",107.560200000000,107.560200000000,107.560200000000,107.560200000000,2.010000000000,2.010000000000,2.010000000000,2.010000000000,,0.0000,,,,,,
BOND,XBOND,"""190210""",,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-17 10:04:00	","	2024-07-17 10:05:00	",106.558700000000,106.558700000000,106.558700000000,106.558700000000,2.220000000000,2.220000000000,2.220000000000,2.220000000000,,0.0000,,,,,,
BOND,XBOND,"""190210""",,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-17 10:04:00	","	2024-07-17 10:05:00	",107.059500000000,107.059500000000,107.059500000000,107.059500000000,2.115000000000,2.115000000000,2.115000000000,2.115000000000,,0.0000,,,,,,
BOND,XBOND,"""200210""",,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-17 10:04:00	","	2024-07-17 10:05:00	",101.000000000000,101.000000000000,101.000000000000,101.000000000000,2.915800000000,2.915800000000,2.915800000000,2.915800000000,,0.0000,,,,,,
BOND,XBOND,"""200210""",,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-17 10:04:00	","	2024-07-17 10:05:00	",100.000000000000,100.000000000000,100.000000000000,100.000000000000,3.100000000000,3.100000000000,3.100000000000,3.100000000000,,0.0000,,,,,,
