asset_Type,data_source,code,agg_algo,settle_type,real_time_take_over,price_type,data_type,curve_name,curve_id,period,ohlc_begin,ohlc_end,open_px,high_px,low_px,close_px,open_yield,open_yield,open_yield,open_yield,ctd_Bond,volume,trade_times,total_volume,open_time,close_time,high_time,low_time
BOND,XBOND,220210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:36:00	","	2024-07-03 09:37:00	",107.447900000000,107.447900000000,107.447900000000,107.447900000000,1.950000000000,1.950000000000,1.950000000000,1.950000000000,,0.0000,,,,,,
BOND,XBOND,220210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:36:00	","	2024-07-03 09:37:00	",107.823700000000,107.823700000000,107.823700000000,107.823700000000,1.900000000000,1.900000000000,1.900000000000,1.900000000000,,0.0000,,,,,,
BOND,XBOND,220210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:36:00	","	2024-07-03 09:37:00	",107.072100000000,107.072100000000,107.072100000000,107.072100000000,2.000000000000,2.000000000000,2.000000000000,2.000000000000,,0.0000,,,,,,
BOND,XBOND,210210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:40:00	","	2024-07-03 09:41:00	",102.526700000000,102.526700000000,102.213900000000,102.213900000000,3.000000000000,3.050000000000,3.000000000000,3.050000000000,,0.0000,,,,,,
BOND,XBOND,210210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:40:00	","	2024-07-03 09:41:00	",102.526700000000,102.526700000000,102.526700000000,102.526700000000,3.000000000000,3.000000000000,3.000000000000,3.000000000000,,0.0000,,,,,,
BOND,XBOND,210210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:40:00	","	2024-07-03 09:41:00	",102.213900000000,102.213900000000,102.213900000000,102.213900000000,3.050000000000,3.050000000000,3.050000000000,3.050000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:41:00	","	2024-07-03 09:42:00	",100.144900000000,100.144900000000,100.144900000000,100.144900000000,4.000000000000,4.000000000000,4.000000000000,4.000000000000,,0.0000,,,,,,
BOND,XBOND,220210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:41:00	","	2024-07-03 09:42:00	",107.447900000000,107.447900000000,107.447900000000,107.447900000000,1.950000000000,1.950000000000,1.950000000000,1.950000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:41:00	","	2024-07-03 09:42:00	",103.870400000000,103.870400000000,103.111100000000,103.111100000000,3.000000000000,3.200000000000,3.000000000000,3.200000000000,,0.0000,,,,,,
BOND,XBOND,220210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:41:00	","	2024-07-03 09:42:00	",107.823700000000,107.823700000000,107.823700000000,107.823700000000,1.900000000000,1.900000000000,1.900000000000,1.900000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:41:00	","	2024-07-03 09:42:00	",100.144900000000,102.007700000000,100.144900000000,101.628000000000,4.000000000000,4.000000000000,3.500000000000,3.600000000000,,0.0000,,,,,,
BOND,XBOND,220210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:41:00	","	2024-07-03 09:42:00	",107.072100000000,107.072100000000,107.072100000000,107.072100000000,2.000000000000,2.000000000000,2.000000000000,2.000000000000,,0.0000,,,,,,
BOND,XBOND,210210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:41:00	","	2024-07-03 09:42:00	",,,,,,,,,,,,,,,,
BOND,XBOND,210210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:41:00	","	2024-07-03 09:42:00	",,,,,,,,,,,,,,,,
BOND,XBOND,210210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:41:00	","	2024-07-03 09:42:00	",,,,,,,,,,,,,,,,
BOND,XBOND,180210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:42:00	","	2024-07-03 09:43:00	",100.144900000000,100.144900000000,100.144900000000,100.144900000000,4.000000000000,4.000000000000,4.000000000000,4.000000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:42:00	","	2024-07-03 09:43:00	",103.111100000000,103.111100000000,103.111100000000,103.111100000000,3.200000000000,3.200000000000,3.200000000000,3.200000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:42:00	","	2024-07-03 09:43:00	",101.628000000000,101.628000000000,101.628000000000,101.628000000000,3.600000000000,3.600000000000,3.600000000000,3.600000000000,,0.0000,,,,,,
BOND,XBOND,200210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:42:00	","	2024-07-03 09:43:00	",100.482400000000,100.482400000000,100.482400000000,100.482400000000,3.011400000000,3.011400000000,3.011400000000,3.011400000000,,0.0000,,,,,,
BOND,XBOND,200210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:42:00	","	2024-07-03 09:43:00	",100.482400000000,100.482400000000,100.482400000000,100.482400000000,3.011400000000,3.011400000000,3.011400000000,3.011400000000,,0.0000,,,,,,
BOND,XBOND,200210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:42:00	","	2024-07-03 09:43:00	",,,,,,,,,,0.0000,,,,,,
BOND,XBOND,200210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:43:00	","	2024-07-03 09:44:00	",100.482400000000,100.482400000000,100.482400000000,100.482400000000,3.011400000000,3.011400000000,3.011400000000,3.011400000000,,0.0000,,,,,,
BOND,XBOND,200210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:43:00	","	2024-07-03 09:44:00	",100.509400000000,100.509400000000,100.509400000000,100.509400000000,3.006500000000,3.006500000000,3.006500000000,3.006500000000,,0.0000,,,,,,
